AnsiControlSequenceParser.AnsiControlSequenceParser( AnsiControlSequenceListener listener );0;1;3
AnsiControlSequenceParser.parse( Reader reader );9;9;33
AnsiControlSequenceParser.parse( String str );1;3;15
AnsiControlSequenceParser.parseControlSequence( Reader reader );10;7;20
